;cleaned_tweet;polarity;sentimen;;;;;;;;;;;;;;
0;cnnindonesia kerja bodoh dan gk masuk akal emang piala dunia laksana dengan biaya sedikit mikir dong;-0,49375;-1;;;;;;;;;;;;;;
1;amazoght idextratime bukan hanya dari piala dunia saja atau ballon di or atau dari jumlah gol tapi leo messi di anggap main baik karena dari seluruh nya yang dia laku dan raih di panjang karir sepak bola dan hanya dia main yang milik smua gelar yang main lain tidak punya gelaritu;-0,016666667;-1;;;;;;;;;;;;;;
2;jadwal liga spanyol usai piala dunia 2022 misi real madrid geser barcelona dari puncak klasemen saing liga spanyol masih kutat pada dua rakasasa mereka real madrid dan bakal rebut puncak klasemen dari barcelona;0,333333333;1;;;;;;;;;;;;;;
3;prediksi skor brentford vs tottenham hotspurs di liga inggris the lilywhites prediksi menang 2 0 laga brentford vs tottenham hotspur buka pekan 17 liga inggris telah libur bulan lebih karena piala dunia 2022;0,325;1;;;;;;;;;;;;;;
4;lawan xel ada di piala dunia kalah sih kemarin tapi sini iya tidak dong;0;0;;;;;;;;;;;;;;
5;kalau masalah rating iya bisa banget salahin piala dunia tapi kalau masalah seru mah iya show me the money mah gtugtu saja adu ngrap;0,25;1;;;;;;;;;;;;;;
6;sudah tidak sesal he canada template dan desain lama yang dipake di piala dunia 2022 tanda nike pilih kasih;0,3;1;;;;;;;;;;;;;;
7;chelseafanindo secara objektif dengan messi punya piala dunia udh jadi beda besar udh akhir siapa goat no 1 tapi sblm itu inget ballon dor messi 7;0;0;;;;;;;;;;;;;;
8;manifesting terima volunteer piala dunia kamu 20 2023 wkwkwkkw;0;0;;;;;;;;;;;;;;
9;squirtlepuppy sm juga sih tiap comeback ngadi banget tanggal kasih yang enak gitu loh bisa ga sih kambek pas natal pas ada piala dunia halaah;0,6;1;;;;;;;;;;;;;;
10;jaemabc muka mirip tahu terus yang nyanyi piala dunia tuh jungkook kan pcrnya jennie;0;0;;;;;;;;;;;;;;
11;selain karena piala dunia juga karena tayang bareng drama reborn rich ini saya tidak tahu karena sudah lama tidak nonton drakor baru gara gara tahun ini ngeskip hsr sih kamu wkwkw tahun kemarin seru karena habis hsr4 momen lanjut smtm10;0,140340909;1;;;;;;;;;;;;;;
12;siaranbolalive goreng berita di eropa kali yak yang kes piala dunia di qatar gak bagus kata kawan saya ada goreng dari kaum;0;0;;;;;;;;;;;;;;
13;siaranbolalive seru kaya piala dunia 2026;0,3375;1;;;;;;;;;;;;;;
14;kewongmass hayuu bahas piala dunia wkwkw;0;0;;;;;;;;;;;;;;
15;idextratime hahahahaha gak dapat piala dunia tiktok pun jadi emang beda kelas kali yang mengaku goat ini iya;0,1;1;;;;;;;;;;;;;;
16;quvvatt radixwp abisaapa namasayad1mas piala dunia 2022 ini sudah cukup jadi ajar tanggap hampir semua positif kutip dari semua yang libat gak peduli apa peran dan tugas kecuali jerman padahal hate speechnya sudah gabisa hitung;-0,190909091;-1;;;;;;;;;;;;;;
17;indo kalau masuk piala dunia saya yakin bisa juara sih asal thailand gaikut ikut;0,65;1;;;;;;;;;;;;;;
18;biasa dua orang kenal temenan baik tapi fansnya yang suka saling senggol senggol kayak fansnya messi dan ronaldo wkwk apalagi messi yang juara piala dunia bahhhh tahu lah jadi;0,075;1;;;;;;;;;;;;;;
19;goal id sepatu emas piala dunia alias top skor piala dunia;0,4;1;;;;;;;;;;;;;;
20;angel di maria sudah bawa argentina juara piala dunia 2022 kini juventus juga harap di maria bisa terus main bagus;0;0;;;;;;;;;;;;;;
21;jelang piala dunia u20 part ii;0;0;;;;;;;;;;;;;;
22;siaranbolalive mbappe sih bisa bawa prancis dua kali turut ke final piala dunia meski yang dua kalah;-0,15;-1;;;;;;;;;;;;;;
23;pesta buka yang megah tutup yang riah jadi catat manis qatar bagai tuan rumah piala dunia 2022 lionel messi akhir akhir nanti juara argentina 36 tahun lama sekaligus gelar piala dunia pertama;0,3125;1;;;;;;;;;;;;;;
24;negara qatar sukses selenggara pesta akbar sepak bola 4 tahun piala dunia 2022 bagai tuan rumah meski bukan negara sepak bola negeri jazirah arab dengan sumber dana yang tidak batas itu mampu sulap gurun pasir yang tandus jadi stadion megah;0,45;1;;;;;;;;;;;;;;
25;negara qatar sukses selenggara piala dunia 2022 bagai tuan rumah meski bukan negara sepak bola negeri jazirah arab itu mampu sulap gurun pasir yang tandus jadi stadion megah tidak hanya itu banyak hasil bangga lain bagi tuan rumah qatar;0,489285714;1;;;;;;;;;;;;;;
26;drama baru karim benzema unfollow mayoritas skuad prancis dan nyata cuma cedera tiga hari di piala dunia 2022 klik;0,045454545;1;;;;;;;;;;;;;;
27;celana striker italia giuseppe meazza lorot ketika ia ambil tembak penalti dalam tanding semifinal di piala dunia 1938;0;0;;;;;;;;;;;;;;
28;berita bola hits di lansir dari beritamedia88 meski sabet gelar kiper baik piala dunia 2022 emiliano martinez bahkan di sebut coreng nama baik timnas argentina sukses argentina sabet trofi piala dunia 2022 tidak lepas dari;0,7;1;;;;;;;;;;;;;;
29;ada ada saja lebih dari 227 000 akun per malam ini telah menandatangani petisi dalam bahasa prancis untuk minta laga final piala dunia 2022 ulang para penandatangan yang jelas masih sakit seru tanding untuk ulang dasar isu teknis imc;-0,019047619;-1;;;;;;;;;;;;;;
30;jelang piala dunia u20 part i;0;0;;;;;;;;;;;;;;
31;munchincake khhfess piala dunia tahun ini desember soal di qatar panas biasa piala dunia bulan juni juli kalau tuan rumah negara eropa amerika;0,083333333;1;;;;;;;;;;;;;;
32;lionel messi kabar mau pamer trofi piala dunia di kandang klub psg hal itu jadi debat yang rasa sulit buat messi;-0,15;-1;;;;;;;;;;;;;;
33;faktasepakbola tarik ini kalau doi bawa ke indonesia buat piala dunia tahun depan;-0,0625;-1;;;;;;;;;;;;;;
34;hanya ada 20 orang di dunia ini yang pernah rasa gelar piala dunia piala eropa ucl 6 orang jerman 7 orang prancis 7 orang spanyol fakta;0;0;;;;;;;;;;;;;;
35;adidas promo hari akhir piala dunia 2022 replica idr 850 000 authentic idr 1 500 000 jersey4sale;0,5;1;;;;;;;;;;;;;;
36;persija jakarta bagaimana nanti kalau dipake piala dunia;0;0;;;;;;;;;;;;;;
37;habis lihat piala dunia terus lihat liga indon bener2 seperti tanding antar rt;0,2;1;;;;;;;;;;;;;;
38;khhfess iya kan emang padahal season ini turut seruuu salah satu garagara bareng sama piala dunia kayak;0,285714286;1;;;;;;;;;;;;;;
39;pas piala dunia aku dukung brasil kamu dukung kolombia cinta kita hampir brasil eh kamu ke goda sama dia;0,5;1;;;;;;;;;;;;;;
40;id albiceleste mniin3 benar min jika nanti memang rezeki juara aff saya senang tapi senang biasa saja tapi kalau sampai indonesia juara piala asia baru saya neng banget seperti argentina juara piala dunia tahun ini;0,247727273;1;;;;;;;;;;;;;;
41;inap di cruise msc world europa lama nonton final piala dunia;-0,025;-1;;;;;;;;;;;;;;
42;pasca piala dunia premier league lanjut dengan london derby premierleague brentford brentfordfc tottenham tottenhamhotspur prediksibrentford prediksitottenham prediksibrentfordvstottenham brentfordvstottenham bretot;0;0;;;;;;;;;;;;;;
43;ramai kait ke lionel messi apa itu trofi super ballon dor hasil bintang timnas argentina lionel messi juara piala dunia 2022 lengkap deret prestasi panjang karier hal itu pun buat nama kait dengan trofi super ballon dor;0,127777778;1;;;;;;;;;;;;;;
44;amazoght idextratime kayak kamu deh yang baru baru nonton bola lagi siapa yang bilang goat di tentu dari piala dunia;0;0;;;;;;;;;;;;;;
45;emery dukung dana besar untuk baik skuad telah jeda piala dunia 2022;0,35;1;;;;;;;;;;;;;;
46;informasi ronaldo7 fadanii31 adammalik01z idextratime kamu doang miliar org bilang ini piala dunia baik;0,35;1;;;;;;;;;;;;;;
47;cnnindonesia sudah sudah piala dunia sudah beres smg yang bikin berita ini toilet mampet;-0,033333333;-1;;;;;;;;;;;;;;
48;gajah main sepak bola sudah biasa kalau sapi senang bola baru luar biasa efek lain piala dunia;0,193560606;1;;;;;;;;;;;;;;
49;dari jaman piala dunia tayang sampai piala dunia selesai yang ngajakin nonton lagi di ketekin sama bini makanya sist kalau janji jangan asal ngucap gilir sudah tahu sama bini jadi diem kan kamu sekarang;0,096428571;1;;;;;;;;;;;;;;
50;ampun kali jalan lintas lhokseumawe medan banyak kalau lobang kalau tiap lobang keluar minyak kayak piala dunia di aceh bukan di qatar;0,5;1;;;;;;;;;;;;;;
51;liverpool siap 665 milyar untuk kontrak gelandang baik piala dunia pada januari;0,45;1;;;;;;;;;;;;;;
52;bicara dunia sepak bola argentina jago yang mana baru raih trofi piala dunia 2022 soal koneksi internet negara lionel messi ini kalah telak dari qatar;0;0;;;;;;;;;;;;;;
53;tepat hari ini minggu yang lalu messi juara piala dunia;0,142857143;1;;;;;;;;;;;;;;
54;bukan cuma jadi natal baik tapi trofi piala dunia juga jadi kado indah dan lengkap jalan karier gemilang lionel messi tuju beinsportsid;0,6375;1;;;;;;;;;;;;;;
55;idextratime sadar kalian kalau ronaldo juga juara dunia pasang ronaldo georgina rodriguez adalah orang argentina kakek buyut georgina adalah kerabat dekat kakek buyut messi piala dunia ini adalah menang bagi argentina trmasuk ronaldo yang istri adalah warga argentina;0,125;1;;;;;;;;;;;;;;
56;idextratime raja dari segala raja alias ini goat yang asli yang asli yang ada trofi piala dunia nya;0,375;1;;;;;;;;;;;;;;
57;lionel messi kabar mau pamer trofi piala dunia di kandang klub psg hal itu jadi debat yang rasa sulit buat messi;-0,15;-1;;;;;;;;;;;;;;
58;conte bakal istirahat main yang tampil di piala dunia 2022 saat boxing day;0;0;;;;;;;;;;;;;;
59;5 milik caps paling sedikit di timnas prancis piala dunia 2022;-0,15;-1;;;;;;;;;;;;;;
60;veryvaldian sogoodbyeybr idextratime padahal telah piala dunia debat siapa yang lebih baik messi atau ronaldo udh akhir di menang messi fans ronaldo masih denail masih bom terima messi juara world cup;0,5;1;;;;;;;;;;;;;;
61;junmkook sudah habis piala dunia nye;0;0;;;;;;;;;;;;;;
62;sport77official cr mikirnya bgimana coba tanding akhir liga belum masuk siap piala dunia bahkan release wawancara blunder besar yang g guna yang cuma penuh hasrat ego dan sukses goreng piers morgan dia g mikir kalau itu rusak konsentrasi dia dan teman se timnas portugal;0,302857143;1;;;;;;;;;;;;;;
63;racheldunar siaranbolalive piala dunia paling ganggu 2010 trompet kocak brisikin stadion bocil2 sok cringe saja yang bilang 2010 hype;0,333333333;1;;;;;;;;;;;;;;
64;telah piala dunia selesai para main fpl kembali pusing formasi saya ikut;0;0;;;;;;;;;;;;;;
65;relive 2022 3 750 tweet lama 2022 cukup berisik juga kalau inget ada masa saya sekip main twitter di tiga atau empat bulan pertama dan sakit lama mayoritas piala dunia dari ribu tweet itu ada 40 yang turut saya cukup tarik buat angkat dan lihat lagi;0,1125;1;;;;;;;;;;;;;;
66;saat dominasi wags patah emak2 pada pialadunia qatar 2022;0;0;;;;;;;;;;;;;;
67;angel di maria mampu ganda duduk jadi 2 0 ketika tanding dengan prancis bisa jadi sang kapten lionel messi adalah aktor utama bagi argentina saat laga di partai final piala dunia 2022 lawan prancis minggu 18 12 2022;0,102222222;1;;;;;;;;;;;;;;
68;smtm 11 catat rating tv rendah panjang sejarah show me the money tahun ini rating smtm 11 rata rata hanya 0 9 persen lebih rendah dari season 2 dan season 1 rating yang rendah ini juga pengaruh oleh smtm 11 yang tayang bareng dengan piala dunia qatar 2022;-0,021428571;-1;;;;;;;;;;;;;;
69;tanpa juara piala dunia pun messi sudah sejajar dengan pele dan maradona emtekworldcup2022 bolacomworldcup2022 pialadunia2022 pialadunia;0;0;;;;;;;;;;;;;;
70;lionel messi kabar mau pamer trofi piala dunia di kandang klub psg hal itu jadi debat yang rasa sulit buat messi;-0,15;-1;;;;;;;;;;;;;;
71;ajang piala dunia 2014 brazil tinggal hitung hari lagi kamu dukung negara mana;0;0;;;;;;;;;;;;;;
72;then my mom said arti bukan rezeki kamu gapapa nanti dikirimin lagi kesel itu duit aku mencari buat adek bukan buat maling sial kesel lagi karena adekku yang football freak sampai gak nonton piala dunia cz that incident padahal waktu nonton tv di sana jarang itu;0,033333333;1;;;;;;;;;;;;;;
73;agak mustahil messi gak menang ballon dor di periode yang sama dia menang piala dunia kasih selamat dari sekarang;-0,355555556;-1;;;;;;;;;;;;;;
74;juara piala dunia 2022 bank central argentina akan monetisasi citra lionel messi pada uang kertas 1 000 peso lionelmessi messi messiday;0;0;;;;;;;;;;;;;;
75;main spurs yang tidak berangkat ke piala dunia siap untuk lakon laga boxing day;0,2;1;;;;;;;;;;;;;;
76;strategi qatar dalam kenal ajar islam pada piala dunia 2022;0;0;;;;;;;;;;;;;;
77;informasi ronaldo7 main yang kamu sebut punya piala dunia semua jhony;0;0;;;;;;;;;;;;;;
78;my lil bruh call me by phone aku gak nonton piala dunia aku ambil duit kirim 300rb buat beli jajan pas nonton piala dunia buat pegang belum beli jajan aku tinggal sebentar duit hilang ambil aku tahu orang tapi gak mau suudzon aku sebel akhir aku tidur saja;0;0;;;;;;;;;;;;;;
79;news berita fakta indonesia viral beritaterkini stadion piala dunia qatar 2022 yang buat dari bahan bekas;0;0;;;;;;;;;;;;;;
80;denger2 ada yang minta final pildun alias piala dunia ulang;0;0;;;;;;;;;;;;;;
81;bagai banding zidane mraih gelar piala dunia piala eropa ucl lah liga piala raja piala super eropa super spanyol intercontinental cup dalam waktu 5 tahun fakta;0,277777778;1;;;;;;;;;;;;;;
82;peguam om tawar as 1 juta untuk bisht pakai messi pada piala dunia lin orang peguam dari om hasrat beli bisht yang pakai bintang bola sepak argentina lionel messi pada majlis anugerah piala dunia pada harga as 1 juta sarawaknews;0;0;;;;;;;;;;;;;;
83;cnnindonesia sok keras piala dunia saja ga pernah masuk;0,15;1;;;;;;;;;;;;;;
84;angel di maria sudah bawa argentina juara piala dunia 2022 kini juventus juga harap di maria bisa terus main bagus;0;0;;;;;;;;;;;;;;
